[La3+ (57), [0.50345, 0.125, 0.36111]]
[La3+ (57), [0.003449999999999953, 0.625, 0.36111]]
[La3+ (57), [0.49655000000000005, 0.125, 0.63889]]
[La3+ (57), [0.99655, 0.625, 0.63889]]
[La3+ (57), [0.49655000000000005, 0.875, 0.63889]]
[La3+ (57), [0.99655, 0.375, 0.63889]]
[La3+ (57), [0.50345, 0.875, 0.36111]]
[La3+ (57), [0.003449999999999953, 0.375, 0.36111]]
[La3+ (57), [0.50345, 0.25, 0.86111]]
[La3+ (57), [0.003449999999999953, 0.75, 0.86111]]
[La3+ (57), [0.49655000000000005, 0.25, 0.13888999999999996]]
[La3+ (57), [0.99655, 0.75, 0.13888999999999996]]
[La3+ (57), [0.49655000000000005, 0.75, 0.13888999999999996]]
[La3+ (57), [0.99655, 0.25, 0.13888999999999996]]
[La3+ (57), [0.50345, 0.75, 0.86111]]
[La3+ (57), [0.003449999999999953, 0.25, 0.86111]]
[La3+ (57), [0.50345, 0.375, 0.36111]]
[La3+ (57), [0.003449999999999953, 0.875, 0.36111]]
[La3+ (57), [0.49655000000000005, 0.375, 0.63889]]
[La3+ (57), [0.99655, 0.875, 0.63889]]
[La3+ (57), [0.49655000000000005, 0.625, 0.63889]]
[La3+ (57), [0.99655, 0.125, 0.63889]]
[La3+ (57), [0.50345, 0.625, 0.36111]]
[La3+ (57), [0.003449999999999953, 0.125, 0.36111]]
[La3+ (57), [0.00345, 0.0, 0.86111]]
[La3+ (57), [0.50345, 0.5, 0.86111]]
[La3+ (57), [0.99655, 0.0, 0.13888999999999996]]
[La3+ (57), [0.49655, 0.5, 0.13888999999999996]]
[La3+ (57), [0.50345, 0.0, 0.86111]]
[La3+ (57), [0.003449999999999953, 0.5, 0.86111]]
[La3+ (57), [0.49655000000000005, 0.0, 0.13888999999999996]]
[La3+ (57), [0.99655, 0.5, 0.13888999999999996]]
[La3+ (57), [0.74655, 0.25, 0.36111]]
[La3+ (57), [0.24655000000000005, 0.75, 0.36111]]
[La3+ (57), [0.25344999999999995, 0.25, 0.63889]]
[La3+ (57), [0.75345, 0.75, 0.63889]]
[La3+ (57), [0.25344999999999995, 0.75, 0.63889]]
[La3+ (57), [0.75345, 0.25, 0.63889]]
[La3+ (57), [0.74655, 0.75, 0.36111]]
[La3+ (57), [0.24655000000000005, 0.25, 0.36111]]
[La3+ (57), [0.74655, 0.375, 0.86111]]
[La3+ (57), [0.24655000000000005, 0.875, 0.86111]]
[La3+ (57), [0.25344999999999995, 0.375, 0.13888999999999996]]
[La3+ (57), [0.75345, 0.875, 0.13888999999999996]]
[La3+ (57), [0.25344999999999995, 0.625, 0.13888999999999996]]
[La3+ (57), [0.75345, 0.125, 0.13888999999999996]]
[La3+ (57), [0.74655, 0.625, 0.86111]]
[La3+ (57), [0.24655000000000005, 0.125, 0.86111]]
[La3+ (57), [0.24655, 0.0, 0.36111]]
[La3+ (57), [0.74655, 0.5, 0.36111]]
[La3+ (57), [0.75345, 0.0, 0.63889]]
[La3+ (57), [0.25345, 0.5, 0.63889]]
[La3+ (57), [0.74655, 0.125, 0.86111]]
[La3+ (57), [0.24655000000000005, 0.625, 0.86111]]
[La3+ (57), [0.25344999999999995, 0.125, 0.13888999999999996]]
[La3+ (57), [0.75345, 0.625, 0.13888999999999996]]
[La3+ (57), [0.25344999999999995, 0.875, 0.13888999999999996]]
[La3+ (57), [0.75345, 0.375, 0.13888999999999996]]
[La3+ (57), [0.74655, 0.875, 0.86111]]
[La3+ (57), [0.24655000000000005, 0.375, 0.86111]]
[La3+ (57), [0.74655, 0.0, 0.36111]]
[La3+ (57), [0.24655000000000005, 0.5, 0.36111]]
[La3+ (57), [0.25344999999999995, 0.0, 0.63889]]
[La3+ (57), [0.75345, 0.5, 0.63889]]
[Cu2+ (29), [0.0, 0.375, 0.0]]
[Cu2+ (29), [0.5, 0.875, 0.0]]
[Cu2+ (29), [0.0, 0.625, 0.0]]
[Cu2+ (29), [0.5, 0.125, 0.0]]
[Cu2+ (29), [0.0, 0.25, 0.5]]
[Cu2+ (29), [0.5, 0.75, 0.5]]
