h	k	l	intensity_exp	intensity_sim	intensity_sim_normalised	ratio	rfactor_normalised	rfactor_not_normalised	min_loss
-2	-3	0	354.4	893.5251	0.012354547	0.8032985186606552	0.5490907037799455	1.3230673488840206	0.0006889558280818164
4	3	0	232.7	1243.314	0.017190991	0.3790579188443591	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-4	-5	0	914.6	2291.3137	0.031681422	0.808419214789703	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-4	-7	0	313.4	681.8684	0.009428023	0.9308687460460053	0.5490907037799455	1.3230673488840206	0.0006889558280818164
6	5	0	360.9	914.6727	0.012646951	0.7991184752772604	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-6	-7	0	401.0	7.7568827	0.000107252476	104.70011717624232	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-6	-9	0	422.8	1226.4547	0.016957883	0.6981897223495666	0.5490907037799455	1.3230673488840206	0.0006889558280818164
8	5	0	331.6	132.6941	0.0018347282	5.061192861192489	0.5490907037799455	1.3230673488840206	0.0006889558280818164
8	7	0	428.4	339.74667	0.004697592	2.5537846653072362	0.5490907037799455	1.3230673488840206	0.0006889558280818164
10	7	0	395.9	360.95435	0.0049908254	2.2213819148177762	0.5490907037799455	1.3230673488840206	0.0006889558280818164
12	7	0	408.4	451.05096	0.0062365686	1.8337921843898741	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	23	524.5	292.4072	0.0040430413	3.6328496013772575	0.5490907037799455	1.3230673488840206	0.0006889558280818164
1	0	-21	556.6	1332.5134	0.01842433	0.8459829252112475	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	17	623.8	1460.8706	0.020199092	0.8648158302298365	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	13	730.8	1507.1268	0.020838665	0.9820616678679911	0.5490907037799455	1.3230673488840206	0.0006889558280818164
1	0	-13	555.0	1507.1268	0.020838665	0.745818590129632	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	11	369.8	2948.0066	0.040761348	0.2540554293305982	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	-7	282.3	1859.8729	0.025715997	0.3074097392833439	0.5490907037799455	1.3230673488840206	0.0006889558280818164
1	0	7	259.7	1859.8729	0.025715997	0.28279953698860927	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	-9	683.2	1783.968	0.024666479	0.7756232453522786	0.5490907037799455	1.3230673488840206	0.0006889558280818164
1	0	9	441.8	1783.968	0.024666479	0.5015666712480045	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	-13	525.3	1255.4752	0.017359141	0.8474015748110377	0.5490907037799455	1.3230673488840206	0.0006889558280818164
1	0	13	446.8	1255.4752	0.017359141	0.7207672256340599	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	-15	333.7	1471.1733	0.020341545	0.45939088467111977	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	-19	597.3	653.2742	0.009032658	1.8517699758297252	0.5490907037799455	1.3230673488840206	0.0006889558280818164
1	0	19	584.6	653.2742	0.009032658	1.8123969996150304	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-1	0	-21	769.0	1817.2113	0.025126126	0.8570594146540832	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	23	977.1	339.8848	0.004699502	5.822336052202835	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	-23	613.7	339.8848	0.004699502	3.656910894726108	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	19	580.9	121.7502	0.0016834094	9.663216446709994	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	17	487.6	1120.8759	0.01549807	0.8810411664996479	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	-17	614.0	1120.8759	0.01549807	1.1094324779138305	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	13	592.6	1621.4158	0.02241891	0.7402139320923399	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	11	330.6	714.7709	0.009882958	0.9367550061173626	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	-11	330.8	714.7709	0.009882958	0.9373217060605673	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	9	483.0	1742.0026	0.024086233	0.5615499069745553	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	-9	616.9	1742.0026	0.024086233	0.7172259577900686	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	-7	526.8	1976.1844	0.027324207	0.5398937352711812	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	-9	637.6	1843.698	0.02549235	0.700403855916563	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	9	423.2	1843.698	0.02549235	0.46488536986180906	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	-11	431.8	1676.2025	0.023176432	0.5217304051832192	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	11	410.7	1676.2025	0.023176432	0.49623593656495635	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	15	392.9	1244.0475	0.017201133	0.6396392065988176	0.5490907037799455	1.3230673488840206	0.0006889558280818164
3	0	17	419.1	1135.2896	0.015697364	0.7476546462703542	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	-19	654.7	479.6988	0.006632675	2.764163420765992	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	-21	473.1	1569.4508	0.021700403	0.6105134408012908	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-3	0	-23	715.3	212.67184	0.0029405602	6.811899430387969	0.5490907037799455	1.3230673488840206	0.0006889558280818164
5	0	-27	738.2	250.35855	0.003461645	5.971749835625801	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-5	0	23	502.1	351.28604	0.0048571443	2.8948050517785977	0.5490907037799455	1.3230673488840206	0.0006889558280818164
5	0	-17	462.3	720.5532	0.009962909	1.2994149001550535	0.5490907037799455	1.3230673488840206	0.0006889558280818164
5	0	-15	851.2	2216.331	0.030644655	0.777834136143267	0.5490907037799455	1.3230673488840206	0.0006889558280818164
5	0	-9	434.3	1455.2136	0.020120874	0.6044398602514122	0.5490907037799455	1.3230673488840206	0.0006889558280818164
5	0	9	1192.0	1440.2975	0.019914633	1.6761545665057358	0.5490907037799455	1.3230673488840206	0.0006889558280818164
5	0	11	303.1	228.37993	0.003157752	2.6879304146057703	0.5490907037799455	1.3230673488840206	0.0006889558280818164
