h,k,l,intensity_exp,intensity_exp_err
-0.333333333,1,0,1.541749315,0
-0.666666667,1,0,2.780073758,0
-1.333333333,1,0,32.68917891,0
-2.333333333,1,0,7.499321381,0
-2.666666667,1,0,17.45509989,0
-3.333333333,1,0,29.93780883,0
-3.666666667,1,0,0.373669587,0
-4.333333333,1,0,9.759358064,0
-4.666666667,1,0,6.428152469,0
-1,1.333333333,0,61.84816104,0
-3,1.333333333,0,19.25934082,0
-2,1.666666667,0,32.86589996,0
-4,1.666666667,0,5.047193207,0
-0.333333333,2,0,2.543871337,0
-1.666666667,2,0,15.71479077,0
-2.333333333,2,0,22.22248647,0
-2.666666667,2,0,1.44787307,0
-3.333333333,2,0,6.818870786,0
-3.666666667,2,0,14.38396224,0
-0.666666667,2.333333333,0,0.283374351,0
-1,2.333333333,0,2.7543162,0
-2,2.333333333,0,11.71509829,0
-3,2.333333333,0,5.564993222,0
-4,2.333333333,0,4.307839131,0
-1,2.666666667,0,2.810634694,0
-2,2.666666667,0,0.181981114,0
-3,2.666666667,0,2.024068342,0
-1.333333333,3,0,3.099404813,0
-2.333333333,3,0,1.52117944,0
-2.666666667,3,0,2.055325794,0
-3.333333333,3,0,7.057104511,0
-4.333333333,3,0,2.83020931,0
-4.666666667,3,0,1.00209172,0
-1,3.333333333,0,1.591465392,0
-2,3.333333333,0,0.374826558,0
-3,3.333333333,0,1.362134871,0
-4,3.333333333,0,0.232890712,0
-2,3.666666667,0,0.570801023,0
-4,3.666666667,0,0.55423219,0
-1.666666667,4,0,0.419460099,0
-2.333333333,4,0,1.616590538,0
-3.333333333,4,0,0.351300143,0
-3.666666667,4,0,0.288525656,0
-4.333333333,4,0,0.830277448,0
-2,4.333333333,0,0.474521456,0
-3,4.333333333,0,0.328551358,0
