h,k,l,intensity_exp,intensity_exp_err
-0.333333333,1,0,1.541749315,0
-0.666666667,1,0,2.780073758,0
-1.333333333,1,0,32.68917891,0
-2.333333333,1,0,7.499321381,0
-2.666666667,1,0,17.45509989,0
-3.333333333,1,0,29.93780883,0
-3.666666667,1,0,0.373669587,0
-4.333333333,1,0,9.759358064,0
-4.666666667,1,0,6.428152469,0
-1,1.333333333,0,61.84816104,0
-3,1.333333333,0,19.25934082,0
-2,1.666666667,0,32.86589996,0
-4,1.666666667,0,5.047193207,0
-0.333333333,2,0,2.543871337,0
-1.666666667,2,0,15.71479077,0
-2.333333333,2,0,22.22248647,0
-2.666666667,2,0,1.44787307,0
-3.333333333,2,0,6.818870786,0
-3.666666667,2,0,14.38396224,0
-0.666666667,2.333333333,0,0.283374351,0
-1,2.333333333,0,2.7543162,0
-2,2.333333333,0,11.71509829,0
-3,2.333333333,0,5.564993222,0
-4,2.333333333,0,4.307839131,0
-1,2.666666667,0,2.810634694,0
-2,2.666666667,0,0.181981114,0
-3,2.666666667,0,2.024068342,0
-1.333333333,3,0,3.099404813,0
-2.333333333,3,0,1.52117944,0
-2.666666667,3,0,2.055325794,0
-3.333333333,3,0,7.057104511,0
-4.333333333,3,0,2.83020931,0
-4.666666667,3,0,1.00209172,0
-1,3.333333333,0,1.591465392,0
-2,3.333333333,0,0.374826558,0
-3,3.333333333,0,1.362134871,0
-4,3.333333333,0,0.232890712,0
-2,3.666666667,0,0.570801023,0
-4,3.666666667,0,0.55423219,0
-1.666666667,4,0,0.419460099,0
-2.333333333,4,0,1.616590538,0
-3.333333333,4,0,0.351300143,0
-3.666666667,4,0,0.288525656,0
-4.333333333,4,0,0.830277448,0
-2,4.333333333,0,0.474521456,0
-3,4.333333333,0,0.328551358,0
-1,0,0,245.0292053,0
-2,0,0,759.701355,0
-3,0,0,289.1700745,0
-4,0,0,74.21458435,0
-1,1,0,6694.544434,0
-2,1,0,1987.011475,0
-3,1,0,16595.70898,0
-4,1,0,464.2876282,0
-1,2,0,1544.919678,0
-2,2,0,7952.647461,0
-3,2,0,1163.065063,0
-4,2,0,12492.61133,0
-1,3,0,43.35364914,0
-2,3,0,5.603776811,0
-3,3,0,41.45243454,0
-4,3,0,4.463415174,0
-1,4,0,0.745031054,0
-2,4,0,12.43442631,0
-3,4,0,1.35734272,0
-4,4,0,8.703361511,0
0,0,3,488.1670532,0
-0.333333333,0,3,1.450827962,0
-0.666666667,0,3,1.055560652,0
-1,0,3,4631.108398,0
-1.333333333,0,3,12.02770677,0
-2,0,3,1900.70813,0
-2.333333333,0,3,4.719799954,0
-2.666666667,0,3,6.783503296,0
-3,0,3,1414.884521,0
-3.333333333,0,3,12.53232828,0
-4,0,3,80.52088165,0
-4.333333333,0,3,3.45257855,0
-4.666666667,0,3,3.305803882,0
0,0.333333333,3,7.208696637,0
-1,0.333333333,3,2.079413462,0
-2,0.333333333,3,2.35935029,0
-3,0.333333333,3,0.778983196,0
0,0.666666667,3,3.066341305,0
-1,0.666666667,3,1.216968266,0
-2,0.666666667,3,1.636843324,0
0,1,3,7663.497559,0
-0.666666667,1,3,1.074756224,0
-1,1,3,4640.847656,0
-1.333333333,1,3,5.340128843,0
-1.666666667,1,3,7.272431996,0
-2,1,3,8797.786133,0
-2.333333333,1,3,11.34424257,0
-2.666666667,1,3,0.74017138,0
-3,1,3,1824.00293,0
-3.333333333,1,3,7.164984789,0
-3.666666667,1,3,8.984769629,0
-4,1,3,3154.264893,0
-4.333333333,1,3,14.92140863,0
-4.666666667,1,3,0.540243224,0
-1,1.333333333,3,9.959088529,0
-2,1.333333333,3,21.12019599,0
-3,1.333333333,3,3.202955894,0
-4,1.333333333,3,7.757486769,0
-1,1.666666667,3,7.487745291,0
-3,1.666666667,3,2.976801545,0
0,2,3,394.5662537,0
-0.333333333,2,3,0.353957494,0
-0.666666667,2,3,0.712445648,0
-1,2,3,5330.929199,0
-1.333333333,2,3,12.2759419,0
-2,2,3,957.6139526,0
-2.333333333,2,3,5.343889458,0
-2.666666667,2,3,8.665118724,0
-3,2,3,5130.368652,0
-3.333333333,2,3,16.58485692,0
-4,2,3,404.0978699,0
-4.333333333,2,3,6.532111446,0
-4.666666667,2,3,3.720216968,0
0,2.333333333,3,3.385304872,0
-1,2.333333333,3,3.75039925,0
-2,2.333333333,3,1.550338511,0
-3,2.333333333,3,3.415273556,0
-4,2.333333333,3,0.578985593,0
0,2.666666667,3,2.426120301,0
