h,k,l,intensity_exp,intensity_exp_err
-0.333333333,1,0,1.541749315,0
-0.666666667,1,0,2.780073758,0
-1.333333333,1,0,32.68917891,0
-2.333333333,1,0,7.499321381,0
-2.666666667,1,0,17.45509989,0
-3.333333333,1,0,29.93780883,0
-3.666666667,1,0,0.373669587,0
-4.333333333,1,0,9.759358064,0
-4.666666667,1,0,6.428152469,0
-1,1.333333333,0,61.84816104,0
-3,1.333333333,0,19.25934082,0
-2,1.666666667,0,32.86589996,0
-4,1.666666667,0,5.047193207,0
-0.333333333,2,0,2.543871337,0
-1.666666667,2,0,15.71479077,0
-2.333333333,2,0,22.22248647,0
-2.666666667,2,0,1.44787307,0
-3.333333333,2,0,6.818870786,0
-3.666666667,2,0,14.38396224,0
-0.666666667,2.333333333,0,0.283374351,0
-1,2.333333333,0,2.7543162,0
-2,2.333333333,0,11.71509829,0
-3,2.333333333,0,5.564993222,0
-4,2.333333333,0,4.307839131,0
-1,2.666666667,0,2.810634694,0
-2,2.666666667,0,0.181981114,0
-3,2.666666667,0,2.024068342,0
-1.333333333,3,0,3.099404813,0
-2.333333333,3,0,1.52117944,0
-2.666666667,3,0,2.055325794,0
-3.333333333,3,0,7.057104511,0
-4.333333333,3,0,2.83020931,0
-4.666666667,3,0,1.00209172,0
-1,3.333333333,0,1.591465392,0
-2,3.333333333,0,0.374826558,0
-3,3.333333333,0,1.362134871,0
-4,3.333333333,0,0.232890712,0
-2,3.666666667,0,0.570801023,0
-4,3.666666667,0,0.55423219,0
-1.666666667,4,0,0.419460099,0
-2.333333333,4,0,1.616590538,0
-3.333333333,4,0,0.351300143,0
-3.666666667,4,0,0.288525656,0
-4.333333333,4,0,0.830277448,0
-2,4.333333333,0,0.474521456,0
-3,4.333333333,0,0.328551358,0
-0.666666667,1,3,1.071113405,0
-1.333333333,1,3,5.269811374,0
-1.666666667,1,3,7.367910616,0
-2.333333333,1,3,11.26305878,0
-2.666666667,1,3,0.74236737,0
-3.333333333,1,3,7.052668301,0
-3.666666667,1,3,9.027536389,0
-4.333333333,1,3,14.83635598,0
-4.666666667,1,3,0.538111342,0
0,1.333333333,3,37.48736248,0
-1,1.333333333,3,9.869304286,0
-2,1.333333333,3,20.44660259,0
-3,1.333333333,3,3.165643617,0
-4,1.333333333,3,7.915589677,0
0,1.666666667,3,0.562353881,0
-1,1.666666667,3,7.50850458,0
-2,1.666666667,3,0.405643509,0
-3,1.666666667,3,3.00190475,0
-4,1.666666667,3,0.213630444,0
-0.333333333,2,3,0.353184896,0
-0.666666667,2,3,0.704646195,0
-1.333333333,2,3,12.59036925,0
-2.333333333,2,3,5.429590764,0
-2.666666667,2,3,8.683858088,0
-3.333333333,2,3,16.19332565,0
-3.666666667,2,3,0.492924172,0
-4.333333333,2,3,6.533156916,0
-4.666666667,2,3,3.700980715,0
0,2.333333333,3,3.429426029,0
-1,2.333333333,3,3.759186038,0
-2,2.333333333,3,1.550849747,0
-3,2.333333333,3,3.422951189,0
-4,2.333333333,3,0.579412876,0
0,2.666666667,3,2.441679138,0
-1,2.666666667,3,0.729298588,0
-2,2.666666667,3,3.202658961,0
-3,2.666666667,3,0.121087925,0
-4,2.666666667,3,0.868600551,0
-0.333333333,3,3,0.213957204,0
-0.666666667,3,3,0.167117669,0
-1.333333333,3,3,1.530903708,0
-1.666666667,3,3,1.491071628,0
-2.333333333,3,3,5.232174425,0
-2.666666667,3,3,0.164650014,0
-3.333333333,3,3,2.380059688,0
-3.666666667,3,3,1.96363062,0
-4.333333333,3,3,5.206409399,0
-4.666666667,3,3,0.227938874,0
0,3.333333333,3,1.546819524,0
-1,3.333333333,3,0.62376516,0
-2,3.333333333,3,2.535254779,0
-3,3.333333333,3,0.54962158,0
-4,3.333333333,3,1.130856251,0
0,3.666666667,3,0.604153443,0
-1,3.666666667,3,0.680400291,0
-3,3.666666667,3,0.635468282,0
-0.333333333,4,3,0.095100626,0
-1.333333333,4,3,1.970719737,0
-2.333333333,4,3,0.516432614,0
-2.666666667,4,3,0.662677433,0
-3.333333333,4,3,2.517263519,0
-4.333333333,4,3,0.775445138,0
-4.666666667,4,3,0.303584215,0
0,4.333333333,3,0.266836316,0
-1,4.333333333,3,0.72954906,0
-2,4.333333333,3,0.317685817,0
-3,4.333333333,3,0.621376374,0
-4,4.333333333,3,0.12399834,0
0,4.666666667,3,0.253304223,0
-1,4.666666667,3,0.073882651,0
-2,4.666666667,3,0.218081377,0
-4,4.666666667,3,0.1311093,0
