h,k,l,j,i,intensity_exp,intensity_exp_err,intensity_sim,percentage_diff,,,,
-2.666666667,1,12,,,0.171926197,0,0.14089164,1363.3014416714514,,,,blue  = poor refit
-2,1.666666667,12,,,0.439087123,0,0.12974909,427.64794004916166,,,,red = remove a fig
0,1.666666667,12,,,0.186028182,0,0.05081054,387.7145160127344,,,,yellow+ refitted
-4,1.666666667,12,,,0.545737088,0,0.08202196,168.37205902019318,,,,
-0.333333333,2,12,,,0.142747902,0,0.04968842,521.5500308658252,,,,
-3.666666667,2,12,,,0.233003536,0,0.06858256,425.58358279901984,,,,
-0.666666667,2,12,,,0.319344784,0,0.08744683,388.9617405008329,,,,
-4,2.333333333,12,,,0.448824233,0,0.1085369,331.8090512,,,,
-3,2.666666667,12,,,0.419535974,0,0.13354407,468.38948987556427,,,,
-0.333333333,3,12,,,0.201309283,0,0.19980478,1672.2815101915785,,,,
-1.333333333,3,12,,,0.748530513,0,0.09629912,129.72244782954178,,,,
-3,3.333333333,12,,,0.414985791,0,0.12427629,434.74369731567793,,,,
-1,3.333333333,12,,,0.888582469,0,0.19936486,300.62817746393813,,,,
-2,3.666666667,12,,,0.197063826,0,0.22582375,1946.2247105596316,,,,
-1,3.666666667,12,,,0.308372043,0,0.13396649,675.7321855,,,,
0,3.666666667,12,,,0.441535381,0,0.049856137,101.62470649596031,,,,
-1.666666667,4,12,,,0.200904342,0,0.03253698,189.18685146432966,,,,
-0.666666667,1,9,,,0.140088948,0,0.1377527,1655.8477899301324,,,,
-0.333333333,1,9,,,0.824169038,0,0.14688851,218.2454162300827,,,,
-4,1.666666667,9,,,0.545737088,0,0.086795405,183.9905518192833,,,,
-2,1.666666667,9,,,0.439087123,0,0.049745165,102.29763342123972,,,,
-4,2.333333333,9,,,0.448824233,0,0.066845536,165.9418853667237,,,,
-4,2.666666667,9,,,0.540791664,0,0.09832996,224.67324978255579,,,,
-2,2.666666667,9,,,0.905648597,0,0.15459226,204.8025935677878,,,,
-1.333333333,3,9,,,0.748530513,0,0.14472932,245.25313462845114,,,,
-4,3.333333333,9,,,0.6766088,0,0.097222544,156.57832709236413,,,,
-3,3.333333333,9,,,0.414985791,0,0.050641388,117.90289494584216,,,,
-1,3.666666667,9,,,0.308372043,0,0.051620863,198.91030940955915,,,,
-2,4.333333333,9,,,0.157599457,0,0.031080484,252.1467552424911,,,,
-3,4.333333333,9,,,0.363397926,0,0.05133534,152.24618951705685,,,,
-2,4.666666667,9,,,0.203462602,0,0.07680555,574.0600998046885,,,,
0,4.666666667,9,,,0.133955923,0,0.029274689,290.23030897607936,,,,
-3.666666667,1,6,,,0.245081375,0,0.16278362,1086.0173158084904,,,,
-0.333333333,1,6,,,0.431415783,0,0.117696434,387.1446137739295,,,,
-0.666666667,1,6,,,0.957794288,0,0.21989924,309.9605893152422,,,,
-2,1.333333333,6,,,0.709814527,0,0.1882034,373.4489930476736,,,,
-4,1.666666667,6,,,1.527554095,0,0.17612123,105.87601433123397,,,,
-2.666666667,2,6,,,0.479308185,0,0.15258884,468.4582414024826,,,,
-4.666666667,2,6,,,1.191671837,0,0.20394668,205.59805970956452,,,,
-3,2.666666667,6,,,0.923803921,0,0.25266755,388.3827213,,,,
-1,2.666666667,6,,,2.417310357,0,0.4328475,219.7371718471187,,,,
-0.666666667,3,6,,,0.20032721,0,0.1472959,1212.9293736652498,,,,
-4.666666667,3,6,,,0.889415512,0,0.24056697,382.97196871699737,,,,
