h,k,l,intensity_exp,intensity_exp_err
0,-1.111111111,0,0,0
0,-1.222222222,0,0,0
0,-1.333333333,0,0.14340915,0
0,-1.444444444,0,0,0
0,-1.555555556,0,0,0
0,-1.666666667,0,0,0
0,-1.777777778,0,2.252933127,0
0,-1.888888889,0,0,0
0,-2.111111111,0,0,0
0,-2.222222222,0,0,0
0,-2.333333333,0,1.227148538,0
0,-2.444444444,0,0,0
0,-2.555555556,0,0,0
0,-2.666666667,0,0.261112245,0
0,-2.777777778,0,0,0
0,-2.888888889,0,0,0
0,-3.111111111,0,0,0
0,-3.222222222,0,0,0
0,-3.333333333,0,0.543071261,0
0,-3.444444444,0,0,0
0,-3.555555556,0,1.393543297,0
0,-3.666666667,0,1.138482227,0
0,-3.777777778,0,0,0
0,-3.888888889,0,0,0
0,-4.111111111,0,0,0
0,-4.222222222,0,0,0
0,-4.333333333,0,0.966623864,0
0,-4.444444444,0,0,0
0,-4.555555556,0,0,0
0,-4.666666667,0,0,0
0,-4.777777778,0,0,0
0,-4.888888889,0,0,0
0,-1.111111111,0.333333333,0,0
0,-1.222222222,0.333333333,0,0
0,-1.333333333,0.333333333,0,0
0,-1.444444444,0.333333333,0,0
0,-1.555555556,0.333333333,0,0
0,-1.666666667,0.333333333,0,0
0,-1.777777778,0.333333333,0,0
0,-1.888888889,0.333333333,0,0
0,-2,0.333333333,0,0
0,-2.111111111,0.333333333,0,0
0,-2.222222222,0.333333333,0,0
0,-2.333333333,0.333333333,0,0
0,-2.444444444,0.333333333,0,0
0,-2.555555556,0.333333333,0,0
0,-2.666666667,0.333333333,0,0
0,-2.777777778,0.333333333,0,0
0,-2.888888889,0.333333333,0,0
0,-3,0.333333333,0,0
0,-3.111111111,0.333333333,0,0
0,-3.222222222,0.333333333,0,0
0,-3.333333333,0.333333333,0,0
0,-3.444444444,0.333333333,0,0
0,-3.555555556,0.333333333,0,0
0,-3.666666667,0.333333333,0,0
0,-3.777777778,0.333333333,0,0
0,-3.888888889,0.333333333,0,0
0,-4,0.333333333,0,0
0,-4.111111111,0.333333333,0,0
0,-4.222222222,0.333333333,0,0
0,-4.333333333,0.333333333,0,0
0,-4.444444444,0.333333333,0,0
0,-4.555555556,0.333333333,0,0
0,-4.666666667,0.333333333,0,0
0,-4.777777778,0.333333333,0,0
0,-4.888888889,0.333333333,0,0
